1. prediction - ensemble,2. prediction - ensemble,1. prediction - model,1. prediction - number of classificators,1. prediction - voting,2. prediction - model,2. prediction - number of classificators,2. prediction - voting,stat,p,rozkład
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),15,vector,GaussianNB(),15,majority,4301.0,8.60097320387638e-80,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,vector,DecisionTreeClassifier(),10,vector,3520.0,4.1337614365612366e-79,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,vector,DecisionTreeClassifier(),10,majority,3520.0,4.1337614365612366e-79,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,vector,DecisionTreeClassifier(),15,majority,3660.0,6.479819704938571e-79,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,vector,DecisionTreeClassifier(),15,vector,3660.0,6.479819704938571e-79,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,majority,DecisionTreeClassifier(),10,vector,4475.0,7.133938747757252e-79,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,majority,DecisionTreeClassifier(),10,majority,4475.0,7.133938747757252e-79,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,majority,DecisionTreeClassifier(),15,majority,4026.0,1.049669159228881e-77,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,majority,DecisionTreeClassifier(),15,vector,4026.0,1.049669159228881e-77,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,vector,GaussianNB(),10,majority,5430.0,1.0309239383201278e-76,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,majority,GaussianNB(),10,majority,5430.0,1.0309239383201278e-76,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,vector,DecisionTreeClassifier(),15,vector,4582.0,2.791480499411893e-75,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,vector,DecisionTreeClassifier(),15,majority,4582.0,2.791480499411893e-75,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),15,majority,GaussianNB(),10,majority,5812.5,1.3663988169230241e-74,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),15,vector,GaussianNB(),10,majority,5812.5,1.3663988169230241e-74,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,majority,DecisionTreeClassifier(),5,vector,13638.5,2.8655877706956234e-62,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,majority,DecisionTreeClassifier(),5,majority,13604.0,4.227806079127191e-62,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,vector,GaussianNB(),5,majority,22696.5,6.54807846837367e-57,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,majority,GaussianNB(),15,vector,0.0,8.746572005146514e-57,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),5,majority,GaussianNB(),5,majority,22642.5,9.273435745461094e-57,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,majority,GaussianNB(),5,vector,0.0,2.3548958109974786e-56,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,majority,GaussianNB(),10,vector,124.5,4.692391805183149e-56,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),15,vector,KNeighborsClassifier(),5,majority,1380.5,3.148671644207847e-49,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,vector,GaussianNB(),5,majority,22703.0,7.673838227106731e-47,Różny
RandomSubspace,RandomSubspace,DecisionTreeClassifier(),10,majority,GaussianNB(),5,majority,22703.0,7.673838227106731e-47,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,majority,DecisionTreeClassifier(),10,vector,18349.5,2.379183873474815e-46,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),10,majority,DecisionTreeClassifier(),10,majority,18349.5,2.379183873474815e-46,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,majority,DecisionTreeClassifier(),5,vector,26142.0,2.4404511050949248e-45,Różny
RandomSubspace,RandomSubspace,KNeighborsClassifier(),5,majority,DecisionTreeClassifier(),5,majority,26080.0,3.4074113738544805e-45,Różny
RandomSubspace,RandomSubspace,GaussianNB(),15,vector,GaussianNB(),5,majority,0.0,4.10269192962272e-45,Różny
RandomSubspace,RandomSubspace,GaussianNB(),5,vector,GaussianNB(),5,majority,0.0,1.1174315887803492e-44,Różny
